Year,Los Angeles,Phoenix,San Diego,Chicago,Philadelphia,Detroit,San Francisco,New York,Houston,Dallas,Indianapolis,San Jose,Charlotte,Austin,Memphis,Columbus,San Antonio,Jacksonville,Honolulu
2018,77,77,64,57,55,54,53,53,51,50,50,47,45,44,44,44,43,41,30
2017,79,84,65,53,55,54,52,52,50,50,48,45,48,43,44,42,43,42,31
2016,75,74,66,54,57,54,47,53,52,48,49,44,46,42,44,42,43,44,31
2015,80,71,61,57,57,55,48,57,54,50,53,46,49,44,44,44,46,40,34
2014,80,83,61,62,59,57,48,56,54,51,59,44,48,44,45,47,48,44,29
2013,77,80,66,60,57,53,53,54,53,57,60,50,45,44,45,46,47,40,30
2012,84,84,64,64,60,59,46,58,55,56,62,47,49,44,49,49,47,40,33
2011,80,87,63,64,61,53,51,61,58,58,63,51,54,45,52,50,47,45,37
2010,77,74,61,71,59,54,48,58,58,52,64,44,56,42,55,51,44,48,38
2009,80,79,67,63,60,48,53,61,58,53,59,46,52,44,52,41,48,45,33
2008,86,107,72,76,63,54,52,67,63,57,61,54,58,45,55,44,49,48,23
2007,81,113,67,77,66,61,45,66,65,56,69,51,67,43,60,47,48,51,21
2006,84,140,70,71,69,64,49,67,69,60,66,50,65,46,63,45,48,55,21
2005,84,80,67,77,71,74,48,66,71,65,72,48,64,46,67,48,49,57,25
2004,91,69,67,77,68,68,48,65,68,55,67,50,60,35,60,58,41,57,23
2003,97,74,68,71,75,70,46,67,70,65,66,52,61,44,66,60,45,50,24
2002,100,80,74,77,76,73,48,65,62,59,67,54,61,47,58,61,47,54,25
2001,101,80,77,84,80,76,46,73,67,71,70,51,64,48,65,64,46,58,25
