State,City,Asthma_Prevalence,COPD_Prevalence,Stroke_Prevalence,Heart_Prevalence,Location,Population,Asthma_LCL,Asthma_HCL,COPD_LCL,COPD_HCL,Stroke_LCL,Stroke_HCL,Heart_LCL,Heart_HCL
NY,New York,10.5,6.0,3.2,5.8,"(40.694960689, -73.9313850409)",8175133,10.5,10.5,6.0,6.0,3.2,3.2,5.8,5.8
CA,Los Angeles,8.5,5.6,3.1,5.4,"(34.1182277898, -118.408500088)",3792621,8.5,8.5,5.5,5.6,3.1,3.1,5.4,5.5
IL,Chicago,9.9,6.2,3.7,6.0,"(41.8372950615, -87.6862308732)",2695598,9.9,9.9,6.2,6.3,3.7,3.8,6.0,6.0
TX,Houston,8.8,6.1,3.6,6.5,"(29.7806691396, -95.3860033966)",2099451,8.7,8.8,6.1,6.1,3.5,3.6,6.5,6.6
PA,Philadelphia,11.6,7.2,4.1,6.6,"(40.0093147808, -75.1333888571)",1526006,11.6,11.7,7.1,7.2,4.1,4.1,6.5,6.6
AZ,Phoenix,10.2,6.5,3.3,6.3,"(33.5724138695, -112.088995222)",1445632,10.1,10.2,6.5,6.6,3.3,3.3,6.3,6.3
TX,San Antonio,8.4,5.6,3.2,6.3,"(29.4721475333, -98.5246763525)",1327407,8.3,8.4,5.5,5.6,3.2,3.2,6.3,6.4
CA,San Diego,8.0,4.6,2.5,4.9,"(32.8355639418, -117.119792061)",1307402,8.0,8.0,4.6,4.7,2.5,2.5,4.8,4.9
TX,Dallas,9.3,6.4,3.8,6.6,"(32.7939804066, -96.7656929463)",1197816,9.3,9.4,6.3,6.4,3.8,3.8,6.6,6.7
HI,Honolulu,9.6,3.9,2.4,4.6,"(21.4588039305, -157.973296737)",953207,9.6,9.6,3.9,3.9,2.4,2.4,4.6,4.6
CA,San Jose,7.7,4.2,2.2,4.7,"(37.3003963176, -121.847228423)",945942,7.7,7.8,4.1,4.2,2.2,2.3,4.7,4.8
FL,Jacksonville,8.2,7.7,3.6,6.5,"(30.3319820139, -81.6752266207)",821784,8.2,8.3,7.6,7.7,3.5,3.6,6.4,6.5
IN,Indianapolis,10.9,7.6,3.8,6.8,"(39.7771221075, -86.145782152)",820445,10.8,10.9,7.5,7.7,3.7,3.8,6.8,6.9
CA,San Francisco,7.8,4.0,2.3,4.5,"(37.7559136611, -122.440987876)",805235,7.8,7.9,4.0,4.1,2.2,2.3,4.5,4.6
TX,Austin,8.2,4.7,2.6,5.3,"(30.3068610342, -97.7554771245)",790390,8.2,8.3,4.7,4.8,2.6,2.7,5.3,5.4
OH,Columbus,10.0,7.7,3.7,6.5,"(39.9859500484, -82.9851738516)",787033,10.0,10.1,7.6,7.7,3.6,3.7,6.5,6.6
TX,Fort Worth,9.5,6.5,3.5,6.4,"(32.780192804, -97.3470323225)",741206,9.5,9.6,6.4,6.6,3.5,3.5,6.4,6.5
NC,Charlotte,8.5,5.7,3.2,5.7,"(35.2078721969, -80.8300754645)",731424,8.5,8.6,5.6,5.8,3.2,3.3,5.6,5.7
MI,Detroit,13.9,11.1,6.3,8.4,"(42.3847015631, -83.1053178776)",713777,13.8,14.0,11.0,11.2,6.3,6.4,8.4,8.4
TX,El Paso,8.1,5.3,3.2,6.4,"(31.8481123506, -106.432021874)",649121,8.0,8.1,5.2,5.3,3.2,3.3,6.3,6.4
TN,Memphis,11.6,9.1,4.9,7.1,"(35.1046295042, -89.978906085)",646889,11.6,11.7,9.0,9.2,4.8,4.9,7.1,7.2
MD,Baltimore,12.2,7.4,4.4,6.7,"(39.3084523991, -76.6160492311)",620961,12.2,12.3,7.3,7.5,4.4,4.4,6.6,6.7
MA,Boston,11.3,6.0,3.2,5.8,"(42.3155796777, -71.0916505804)",617594,11.3,11.4,5.9,6.0,3.2,3.3,5.7,5.8
WA,Seattle,8.9,4.3,2.4,4.7,"(47.622154338, -122.323532482)",608660,8.8,8.9,4.2,4.3,2.3,2.4,4.7,4.7
DC,Washington,10.0,5.5,3.4,4.9,"(38.9099241426, -77.0147205666)",601723,10.0,10.1,5.4,5.6,3.4,3.4,4.9,5.0
TN,Nashville,10.4,7.5,3.4,6.2,"(36.1712229904, -86.7845944773)",601222,10.3,10.4,7.4,7.6,3.3,3.4,6.2,6.3
CO,Denver,8.8,4.6,2.7,4.9,"(39.7620283743, -104.876365322)",600158,8.8,8.9,4.5,4.6,2.7,2.8,4.8,4.9
KY,Louisville,12.3,9.1,3.5,7.7,"(38.1777689918, -85.6664099974)",597337,12.2,12.3,9.0,9.2,3.5,3.6,7.7,7.8
WI,Milwaukee,11.0,7.2,4.2,6.7,"(43.0641258925, -87.9672412429)",594833,10.9,11.0,7.1,7.3,4.2,4.3,6.7,6.8
OR,Portland,9.5,5.3,2.7,5.4,"(45.537180654, -122.650032751)",583776,9.4,9.6,5.3,5.4,2.7,2.7,5.3,5.4
NV,Las Vegas,8.7,7.1,3.2,6.7,"(36.2274148438, -115.262670095)",583756,8.6,8.7,7.0,7.2,3.2,3.3,6.6,6.7
OK,Oklahoma City,10.1,7.3,3.5,6.7,"(35.467564288, -97.5137615524)",579999,10.1,10.2,7.2,7.3,3.4,3.5,6.7,6.8
NM,Albuquerque,10.3,5.4,2.9,5.6,"(35.1055025771, -106.647447696)",545852,10.3,10.4,5.3,5.5,2.8,2.9,5.5,5.6
AZ,Tucson,10.8,6.9,3.3,6.5,"(32.1567244483, -110.877085494)",520116,10.7,10.8,6.8,7.0,3.3,3.4,6.4,6.5
CA,Fresno,9.7,7.1,3.7,6.6,"(36.7826786711, -119.794126569)",494665,9.7,9.8,7.1,7.2,3.7,3.8,6.5,6.6
CA,Sacramento,9.8,6.1,3.2,5.8,"(38.5666321567, -121.468299801)",466488,9.8,9.8,6.0,6.1,3.2,3.2,5.8,5.9
CA,Long Beach,8.6,5.5,3.0,5.3,"(33.8060144825, -118.160894146)",462257,8.5,8.6,5.5,5.6,3.0,3.0,5.3,5.3
MO,Kansas City,10.2,7.4,3.6,6.2,"(39.1239413971, -94.5541236795)",459787,10.1,10.3,7.3,7.5,3.6,3.6,6.2,6.3
AZ,Mesa,10.1,6.4,3.0,6.0,"(33.4022837359, -111.718721181)",439041,10.0,10.2,6.3,6.4,3.0,3.1,5.9,6.1
VA,Virginia Beach,8.4,5.2,2.5,5.1,"(36.7534593339, -76.0589579522)",437994,8.3,8.4,5.1,5.3,2.4,2.5,5.1,5.2
GA,Atlanta,9.0,6.4,4.1,6.0,"(33.7626524683, -84.4231419055)",420003,8.9,9.1,6.3,6.5,4.1,4.2,5.9,6.1
