State,City,Asthma_Prevalence,COPD_Prevalence,Stroke_Prevalence,Heart_Prevalence,Location,Population,Asthma_LCL,Asthma_HCL,COPD_LCL,COPD_HCL,Stroke_LCL,Stroke_HCL,Heart_LCL,Heart_HCL,CBSA,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_for_Sensitive_Groups Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days,Median_AQI,Days_Ozone,Days_PM2.5
NY,New York,10.5,6.0,3.2,5.8,"(40.694960689, -73.9313850409)",8175133,10.5,10.5,6.0,6.0,3.2,3.2,5.8,5.8,"New York-Newark-Jersey City, NY-NJ-PA",366,155,181,28,2,0,0,53,162,160
CA,Los Angeles,8.5,5.6,3.1,5.4,"(34.1182277898, -118.408500088)",3792621,8.5,8.5,5.5,5.6,3.1,3.1,5.4,5.5,"Los Angeles-Long Beach-Anaheim, CA",366,32,226,83,21,4,0,75,181,153
IL,Chicago,9.9,6.2,3.7,6.0,"(41.8372950615, -87.6862308732)",2695598,9.9,9.9,6.2,6.3,3.7,3.8,6.0,6.0,"Chicago-Naperville-Elgin, IL-IN-WI",366,151,187,23,4,1,0,54,119,175
TX,Houston,8.8,6.1,3.6,6.5,"(29.7806691396, -95.3860033966)",2099451,8.7,8.8,6.1,6.1,3.5,3.6,6.5,6.6,"Houston-The Woodlands-Sugar Land, TX",366,164,179,22,1,0,0,52,189,145
PA,Philadelphia,11.6,7.2,4.1,6.6,"(40.0093147808, -75.1333888571)",1526006,11.6,11.7,7.1,7.2,4.1,4.1,6.5,6.6,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",366,122,224,18,2,0,0,57,134,214
AZ,Phoenix,10.2,6.5,3.3,6.3,"(33.5724138695, -112.088995222)",1445632,10.1,10.2,6.5,6.6,3.3,3.3,6.3,6.3,"Phoenix-Mesa-Scottsdale, AZ",366,26,265,67,5,2,1,74,107,79
TX,San Antonio,8.4,5.6,3.2,6.3,"(29.4721475333, -98.5246763525)",1327407,8.3,8.4,5.5,5.6,3.2,3.2,6.3,6.4,"San Antonio-New Braunfels, TX",366,268,92,5,1,0,0,43,222,137
CA,San Diego,8.0,4.6,2.5,4.9,"(32.8355639418, -117.119792061)",1307402,8.0,8.0,4.6,4.7,2.5,2.5,4.8,4.9,"San Diego-Carlsbad, CA",366,69,255,40,2,0,0,66,224,138
TX,Dallas,9.3,6.4,3.8,6.6,"(32.7939804066, -96.7656929463)",1197816,9.3,9.4,6.3,6.4,3.8,3.8,6.6,6.7,"Dallas-Fort Worth-Arlington, TX",366,217,131,17,1,0,0,48,242,112
HI,Honolulu,9.6,3.9,2.4,4.6,"(21.4588039305, -157.973296737)",953207,9.6,9.6,3.9,3.9,2.4,2.4,4.6,4.6,"Urban Honolulu, HI",366,353,13,0,0,0,0,31,282,62
CA,San Jose,7.7,4.2,2.2,4.7,"(37.3003963176, -121.847228423)",945942,7.7,7.8,4.1,4.2,2.2,2.3,4.7,4.8,"San Jose-Sunnyvale-Santa Clara, CA",366,250,110,6,0,0,0,44,237,123
FL,Jacksonville,8.2,7.7,3.6,6.5,"(30.3319820139, -81.6752266207)",821784,8.2,8.3,7.6,7.7,3.5,3.6,6.4,6.5,"Jacksonville, FL",366,265,101,0,0,0,0,44,196,154
IN,Indianapolis,10.9,7.6,3.8,6.8,"(39.7771221075, -86.145782152)",820445,10.8,10.9,7.5,7.7,3.7,3.8,6.8,6.9,"Indianapolis-Carmel-Anderson, IN",366,197,157,12,0,0,0,49,134,225
CA,San Francisco,7.8,4.0,2.3,4.5,"(37.7559136611, -122.440987876)",805235,7.8,7.9,4.0,4.1,2.2,2.3,4.5,4.6,"San Francisco-Oakland-Hayward, CA",366,216,135,13,2,0,0,47,168,188
TX,Austin,8.2,4.7,2.6,5.3,"(30.3068610342, -97.7554771245)",790390,8.2,8.3,4.7,4.8,2.6,2.7,5.3,5.4,"Austin-Round Rock, TX",366,280,85,1,0,0,0,42,225,122
OH,Columbus,10.0,7.7,3.7,6.5,"(39.9859500484, -82.9851738516)",787033,10.0,10.1,7.6,7.7,3.6,3.7,6.5,6.6,"Columbus, OH",366,264,92,10,0,0,0,42,188,136
TX,Fort Worth,9.5,6.5,3.5,6.4,"(32.780192804, -97.3470323225)",741206,9.5,9.6,6.4,6.6,3.5,3.5,6.4,6.5,"Dallas-Fort Worth-Arlington, TX",366,217,131,17,1,0,0,48,242,112
NC,Charlotte,8.5,5.7,3.2,5.7,"(35.2078721969, -80.8300754645)",731424,8.5,8.6,5.6,5.8,3.2,3.3,5.6,5.7,"Charlotte-Concord-Gastonia, NC-SC",366,227,130,7,2,0,0,46,263,97
MI,Detroit,13.9,11.1,6.3,8.4,"(42.3847015631, -83.1053178776)",713777,13.8,14.0,11.0,11.2,6.3,6.4,8.4,8.4,"Detroit-Warren-Dearborn, MI",366,148,196,22,0,0,0,54,113,182
TN,Memphis,11.6,9.1,4.9,7.1,"(35.1046295042, -89.978906085)",646889,11.6,11.7,9.0,9.2,4.8,4.9,7.1,7.2,"Memphis, TN-MS-AR",366,261,97,7,1,0,0,44,241,114
