Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2016,US,United States,,US,BRFSS,Prevention,59,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.6,14.3,14.9,,,308745538,,PREVENT,ACCESS2,,,Health Insurance
2016,US,United States,,US,BRFSS,Health Outcomes,59,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,23.0,22.8,23.2,,,308745538,,HLTHOUT,ARTHRITIS,,,Arthritis
2016,US,United States,,US,BRFSS,Unhealthy Behaviors,59,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.0,17.7,18.2,,,308745538,,UNHBEH,BINGE,,,Binge Drinking
2015,US,United States,,US,BRFSS,Health Outcomes,59,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,29.4,29.2,29.7,,,308745538,,HLTHOUT,BPHIGH,,,High Blood Pressure
2015,US,United States,,US,BRFSS,Prevention,59,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,57.7,57.1,58.4,,,308745538,,PREVENT,BPMED,,,Taking BP Medication
2016,US,United States,,US,BRFSS,Health Outcomes,59,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.9,5.8,6.0,,,308745538,,HLTHOUT,CANCER,,,Cancer (except skin)
2016,US,United States,,US,BRFSS,Health Outcomes,59,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.8,8.7,9.0,,,308745538,,HLTHOUT,CASTHMA,,,Current Asthma
2016,US,United States,,US,BRFSS,Health Outcomes,59,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.8,5.7,5.9,,,308745538,,HLTHOUT,CHD,,,Coronary Heart Disease
2016,US,United States,,US,BRFSS,Prevention,59,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,69.7,69.4,70.0,,,308745538,,PREVENT,CHECKUP,,,Annual Checkup
2015,US,United States,,US,BRFSS,Prevention,59,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,75.2,74.9,75.5,,,308745538,,PREVENT,CHOLSCREEN,,,Cholesterol Screening
2016,US,United States,,US,BRFSS,Prevention,59,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,AgeAdjPrv,Age-adjusted prevalence,64.2,63.8,64.7,,,308745538,,PREVENT,COLON_SCREEN,,,Colorectal Cancer Screening
2016,US,United States,,US,BRFSS,Health Outcomes,59,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.0,5.8,6.1,,,308745538,,HLTHOUT,COPD,,,COPD
2016,US,United States,,US,BRFSS,Prevention,59,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,35.0,34.2,35.8,,,308745538,,PREVENT,COREM,,,Core preventive services for older men
2016,US,United States,,US,BRFSS,Prevention,59,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,31.5,30.9,32.2,,,308745538,,PREVENT,COREW,,,Core preventive services for older women
2016,US,United States,,US,BRFSS,Unhealthy Behaviors,59,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.8,16.6,17.1,,,308745538,,UNHBEH,CSMOKING,,,Current Smoking
2016,US,United States,,US,BRFSS,Prevention,59,Visits to dentist or dental clinic among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,65.3,65.0,65.6,,,308745538,,PREVENT,DENTAL,,,Dental Visit
2016,US,United States,,US,BRFSS,Health Outcomes,59,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.6,9.4,9.7,,,308745538,,HLTHOUT,DIABETES,,,Diabetes
2015,US,United States,,US,BRFSS,Health Outcomes,59,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,Age-adjusted prevalence,31.1,30.8,31.4,,,308745538,,HLTHOUT,HIGHCHOL,,,High Cholesterol
2016,US,United States,,US,BRFSS,Health Outcomes,59,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.7,2.6,2.8,,,308745538,,HLTHOUT,KIDNEY,,,Chronic Kidney Disease
2016,US,United States,,US,BRFSS,Unhealthy Behaviors,59,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,23.7,23.5,24.0,,,308745538,,UNHBEH,LPA,,,Physical Inactivity
2016,US,United States,,US,BRFSS,Prevention,59,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,77.7,77.2,78.2,,,308745538,,PREVENT,MAMMOUSE,,,Mammography
2016,US,United States,,US,BRFSS,Health Outcomes,59,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.9,11.6,12.1,,,308745538,,HLTHOUT,MHLTH,,,Mental Health
2016,US,United States,,US,BRFSS,Unhealthy Behaviors,59,Obesity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,29.5,29.3,29.8,,,308745538,,UNHBEH,OBESITY,,,Obesity
2016,US,United States,,US,BRFSS,Prevention,59,Papanicolaou smear use among adult women aged 21–65 Years,%,AgeAdjPrv,Age-adjusted prevalence,80.3,79.8,80.8,#,Data based on states available from the 2016 BRFSS,308745538,,PREVENT,PAPTEST,,,Pap Smear Test
2016,US,United States,,US,BRFSS,Health Outcomes,59,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.5,11.4,11.7,,,308745538,,HLTHOUT,PHLTH,,,Physical Health
2016,US,United States,,US,BRFSS,Unhealthy Behaviors,59,Sleeping less than 7 hours among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,35.1,34.8,35.4,,,308745538,,UNHBEH,SLEEP,,,Sleep <7 hours
2016,US,United States,,US,BRFSS,Health Outcomes,59,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.9,2.8,3.0,,,308745538,,HLTHOUT,STROKE,,,Stroke
2016,US,United States,,US,BRFSS,Health Outcomes,59,All teeth lost among adults aged >=65 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.0,14.6,15.4,,,308745538,,HLTHOUT,TEETHLOST,,,Teeth Loss
2016,AL,Alabama,Birmingham,City,BRFSS,Prevention,0107000,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.5,19.1,19.9,,,212237,"(33.5275663773, -86.7988174678)",PREVENT,ACCESS2,107000.0,,Health Insurance
2016,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,29.3,29.1,29.4,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,ARTHRITIS,107000.0,,Arthritis
2016,AL,Alabama,Birmingham,City,BRFSS,Unhealthy Behaviors,0107000,Binge drinking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.0,13.0,13.1,,,212237,"(33.5275663773, -86.7988174678)",UNHBEH,BINGE,107000.0,,Binge Drinking
2015,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,44.1,43.9,44.2,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,BPHIGH,107000.0,,High Blood Pressure
2015,AL,Alabama,Birmingham,City,BRFSS,Prevention,0107000,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,Age-adjusted prevalence,70.1,70.0,70.2,,,212237,"(33.5275663773, -86.7988174678)",PREVENT,BPMED,107000.0,,Taking BP Medication
2016,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.7,5.6,5.7,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,CANCER,107000.0,,Cancer (except skin)
2016,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.5,10.4,10.6,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,CASTHMA,107000.0,,Current Asthma
2016,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.5,7.4,7.5,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,CHD,107000.0,,Coronary Heart Disease
2016,AL,Alabama,Birmingham,City,BRFSS,Prevention,0107000,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,76.9,76.9,77.0,,,212237,"(33.5275663773, -86.7988174678)",PREVENT,CHECKUP,107000.0,,Annual Checkup
2015,AL,Alabama,Birmingham,City,BRFSS,Prevention,0107000,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,75.8,75.5,76.0,,,212237,"(33.5275663773, -86.7988174678)",PREVENT,CHOLSCREEN,107000.0,,Cholesterol Screening
2016,AL,Alabama,Birmingham,City,BRFSS,Prevention,0107000,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,AgeAdjPrv,Age-adjusted prevalence,64.7,64.2,65.1,,,212237,"(33.5275663773, -86.7988174678)",PREVENT,COLON_SCREEN,107000.0,,Colorectal Cancer Screening
2016,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.7,8.6,8.9,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,COPD,107000.0,,COPD
2016,AL,Alabama,Birmingham,City,BRFSS,Prevention,0107000,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,AgeAdjPrv,Age-adjusted prevalence,33.0,32.2,33.8,,,212237,"(33.5275663773, -86.7988174678)",PREVENT,COREM,107000.0,,Core preventive services for older men
2016,AL,Alabama,Birmingham,City,BRFSS,Prevention,0107000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,AgeAdjPrv,Age-adjusted prevalence,26.7,26.1,27.3,,,212237,"(33.5275663773, -86.7988174678)",PREVENT,COREW,107000.0,,Core preventive services for older women
2016,AL,Alabama,Birmingham,City,BRFSS,Unhealthy Behaviors,0107000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,22.6,22.2,22.9,,,212237,"(33.5275663773, -86.7988174678)",UNHBEH,CSMOKING,107000.0,,Current Smoking
2016,AL,Alabama,Birmingham,City,BRFSS,Prevention,0107000,Visits to dentist or dental clinic among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,52.5,52.0,53.0,,,212237,"(33.5275663773, -86.7988174678)",PREVENT,DENTAL,107000.0,,Dental Visit
2016,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.7,16.6,16.8,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,DIABETES,107000.0,,Diabetes
2015,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,Age-adjusted prevalence,35.3,35.2,35.4,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,HIGHCHOL,107000.0,,High Cholesterol
2016,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.9,3.8,3.9,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,KIDNEY,107000.0,,Chronic Kidney Disease
2016,AL,Alabama,Birmingham,City,BRFSS,Unhealthy Behaviors,0107000,No leisure-time physical activity among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,35.8,35.4,36.2,,,212237,"(33.5275663773, -86.7988174678)",UNHBEH,LPA,107000.0,,Physical Inactivity
2016,AL,Alabama,Birmingham,City,BRFSS,Prevention,0107000,Mammography use among women aged 50–74 Years,%,AgeAdjPrv,Age-adjusted prevalence,77.7,77.3,78.1,,,212237,"(33.5275663773, -86.7988174678)",PREVENT,MAMMOUSE,107000.0,,Mammography
2016,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.1,15.0,15.3,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,MHLTH,107000.0,,Mental Health
