"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",2019,31,31,0,0,0,0,0,40,37,23,0,0,0,0,31,0
"Akron, OH","10420",2019,90,59,30,1,0,0,0,102,64,43,0,0,12,1,77,0
"Albany, GA","10500",2019,54,39,15,0,0,0,0,82,61,35,0,0,0,0,54,0
"Albany-Schenectady-Troy, NY","10580",2019,91,72,19,0,0,0,0,92,58,41,1,0,51,0,39,0
"Albuquerque, NM","10740",2019,90,85,5,0,0,0,0,58,50,41,0,0,86,0,3,1
"Allentown-Bethlehem-Easton, PA-NJ","10900",2019,90,89,1,0,0,0,0,71,41,31,0,0,87,3,0,0
"Amarillo, TX","11100",2019,59,59,0,0,0,0,0,46,42,34,0,0,59,0,0,0
"Americus, GA","11140",2019,61,45,16,0,0,0,0,84,61,44,0,0,61,0,0,0
"Ann Arbor, MI","11460",2019,54,54,0,0,0,0,0,44,39,32,0,0,53,0,1,0
"Appleton, WI","11540",2019,59,49,9,1,0,0,0,119,64,28,0,0,0,1,58,0
"Ardmore, OK","11620",2019,90,72,18,0,0,0,0,74,57,38,0,0,24,0,66,0
"Arkadelphia, AR","11660",2019,56,56,0,0,0,0,0,46,36,28,0,0,56,0,0,0
"Asheville, NC","11700",2019,90,79,10,1,0,0,0,108,52,23,0,0,0,21,69,0
"Ashtabula, OH","11780",2019,90,88,2,0,0,0,0,74,43,1,0,0,31,59,0,0
"Athens, OH","11900",2019,30,28,2,0,0,0,0,56,49,28,0,0,0,0,30,0
"Athens, TN","11940",2019,90,81,9,0,0,0,0,57,51,26,0,0,0,0,90,0
"Athens-Clarke County, GA","12020",2019,119,92,27,0,0,0,0,71,61,40,0,0,61,0,58,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2019,121,82,38,1,0,0,0,126,67,43,1,5,78,0,37,0
"Atlantic City-Hammonton, NJ","12100",2019,89,89,0,0,0,0,0,48,44,33,0,0,89,0,0,0
"Augusta-Richmond County, GA-SC","12260",2019,120,82,38,0,0,0,0,87,64,45,0,0,70,4,46,0
"Augusta-Waterville, ME","12300",2019,119,117,2,0,0,0,0,54,47,34,0,53,61,0,5,0
"Bakersfield, CA","12540",2019,120,96,15,7,2,0,0,166,81,17,0,0,0,0,85,35
"Baltimore-Columbia-Towson, MD","12580",2019,91,65,26,0,0,0,0,98,62,44,1,9,42,2,37,0
"Bangor, ME","12620",2019,120,117,3,0,0,0,0,62,46,38,0,0,61,0,59,0
"Baraboo, WI","12660",2019,59,49,10,0,0,0,0,71,58,26,0,0,0,0,59,0
"Barnstable Town, MA","12700",2019,57,57,0,0,0,0,0,43,43,38,0,0,57,0,0,0
"Baton Rouge, LA","12940",2019,121,86,35,0,0,0,0,97,61,43,1,5,74,1,40,0
"Bay City, MI","13020",2019,1,1,0,0,0,0,0,23,23,23,0,0,0,0,1,0
"Beaver Dam, WI","13180",2019,60,44,16,0,0,0,0,91,60,39,1,0,27,0,32,0
"Bellingham, WA","13380",2019,31,29,2,0,0,0,0,52,46,31,0,0,0,8,23,0
"Billings, MT","13740",2019,31,31,0,0,0,0,0,48,43,25,0,0,0,0,31,0
"Birmingham-Hoover, AL","13820",2019,32,14,18,0,0,0,0,70,63,52,1,0,1,3,27,0
"Bishop, CA","13860",2019,90,87,3,0,0,0,0,74,47,42,0,0,86,0,0,4
"Bismarck, ND","13900",2019,91,71,20,0,0,0,0,74,59,38,1,2,59,0,29,0
"Blacksburg-Christiansburg-Radford, VA","13980",2019,87,77,10,0,0,0,0,89,56,34,0,0,52,35,0,0
"Bloomington, IL","14010",2019,90,57,33,0,0,0,0,73,63,45,0,0,19,0,71,0
"Bloomington, IN","14020",2019,84,75,9,0,0,0,0,72,51,34,0,0,23,0,61,0
"Boston-Cambridge-Newton, MA-NH","14460",2019,60,43,17,0,0,0,0,74,58,42,1,3,21,0,35,0
"Boulder, CO","14500",2019,94,68,23,3,0,0,0,119,66,44,0,0,49,0,45,0
